,age,sex,smoker,pren_prod,pren_comp,point_sales,product_type,dist_channel,pay_freq,pay_method,profession,evento,time
1190,41,1,1,58.5,0.0,0,8,2,3,1,1,False,3105.0
4179,46,1,1,19.21,0.0,1,3,2,3,1,1,True,1489.0
7601,38,0,1,19.22,0.0,0,2,2,3,1,1,False,517.0
5633,37,0,1,126.0,46.75,0,8,2,3,1,1,False,502.0
2853,27,1,1,44.0,0.0,1,7,2,3,1,1,True,196.0
6578,28,0,1,480.0,56.11,1,7,1,1,0,1,True,455.0
6309,43,0,1,66.4,0.0,1,7,2,3,1,1,False,2116.0
4828,32,0,1,39.5,0.0,1,9,2,3,1,1,False,95.0
2913,31,0,1,25.5,0.52,1,7,2,1,1,1,False,974.0
2480,36,0,1,30.0,0.0,3,7,2,3,1,2,True,511.0
6209,41,1,1,41.0,0.04,1,7,2,3,1,1,True,638.0
6633,49,1,1,2199.17,0.0,0,1,1,0,0,2,False,189.0
5083,36,1,1,22.27,0.0,0,2,2,3,1,1,True,166.0
5283,35,0,1,30.0,59.32,1,7,2,3,1,1,False,563.0
3133,29,1,1,19.84,0.72,3,2,2,3,1,2,True,120.0
4722,43,0,1,21.59,0.0,1,2,2,3,1,1,True,487.0
6834,46,1,0,812.88,0.0,2,2,2,3,1,1,True,766.0
279,34,0,1,19.29,0.0,0,2,2,3,1,1,False,943.0
1889,34,1,0,103.0,0.0,0,8,2,3,1,1,False,3135.0
3066,40,1,1,67.69,0.0,0,8,2,3,0,1,True,188.0
5646,36,1,0,62.0,45.29,2,8,2,3,1,2,True,163.0
4173,41,0,1,150.0,0.0,0,9,2,3,1,1,False,96.0
6716,36,1,1,48.0,0.0,0,8,2,3,1,1,True,1287.0
684,32,1,1,246.0,131.75,0,8,1,3,1,1,False,1400.0
3062,33,1,1,43.5,0.98,3,8,2,3,1,1,False,2708.0
5802,35,0,1,30.6,0.0,1,7,2,3,1,1,True,177.0
5962,30,0,1,306.0,5.29,3,7,1,3,1,1,False,425.0
1049,46,1,1,47.74,0.0,1,2,2,3,1,1,False,1063.0
6189,53,0,1,73.2,0.0,1,8,2,3,1,1,True,123.0
879,35,1,1,37.6,0.0,1,8,2,3,1,1,True,1770.0
5476,22,0,1,35.0,0.0,1,8,2,3,1,1,True,243.0
